# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 178  14  5.29598e-01   1.31127e-02  -7.49307e-03  -2.31408e-07
 50 178  20  5.32743e-01   1.15422e-02  -9.88448e-03  -2.80421e-07
 50 178  25  5.37482e-01   9.78505e-03  -1.18467e-02  -5.78800e-07
 50 178  29  5.40055e-01   7.86243e-03  -1.32081e-02  -8.09810e-07
 50 178  35  5.39934e-01   5.37459e-03  -1.41474e-02  -8.85138e-07
 50 178  40  5.42905e-01   2.90460e-03  -1.50747e-02  -1.06942e-06
 50 178  45  5.44356e-01   4.81281e-04  -1.56150e-02  -1.20157e-06
 50 178  50  5.47572e-01  -2.35726e-03  -1.54309e-02  -1.26870e-06
 50 178  55  5.53989e-01  -4.97529e-03  -1.52085e-02  -1.31467e-06
 50 178  59  5.58621e-01  -8.13573e-03  -1.43540e-02  -1.12354e-06
 50 178  65  5.62464e-01  -1.04398e-02  -1.28209e-02  -1.04138e-06
 50 178  70  5.65163e-01  -1.22494e-02  -1.05829e-02  -1.17271e-06
 50 178  75  5.68063e-01  -1.42091e-02  -8.03274e-03  -1.36137e-06
 50 178  80  5.68046e-01  -1.52601e-02  -5.76420e-03  -1.82540e-06
 50 178  85  5.67318e-01  -1.60328e-02  -3.46925e-03  -2.16425e-06
 50 178  90  5.67050e-01  -1.62941e-02  -4.14616e-04  -2.61525e-06
 50 178  95  5.68092e-01  -1.65043e-02   2.77221e-03  -2.33676e-06
 50 178 100  5.67263e-01  -1.62790e-02   5.11522e-03  -1.87781e-06
 50 178 105  5.66221e-01  -1.50108e-02   7.16912e-03  -2.31947e-06
 50 178 110  5.65343e-01  -1.32068e-02   9.85826e-03  -2.32905e-06
 50 178 115  5.67334e-01  -1.14094e-02   1.17502e-02  -2.09298e-06
 50 178 119  5.65531e-01  -9.05089e-03   1.34042e-02  -1.69148e-06
 50 178 125  5.63668e-01  -5.94058e-03   1.48605e-02  -1.88489e-06
 50 178 130  5.61277e-01  -3.16499e-03   1.54489e-02  -2.07523e-06
 50 178 135  5.62588e-01  -2.87681e-04   1.56663e-02  -2.14320e-06
 50 178 140  5.63544e-01   2.20360e-03   1.53737e-02  -2.22372e-06
 50 178 145  5.64729e-01   4.85307e-03   1.47112e-02  -2.19953e-06
 50 178 150  5.71387e-01   8.05841e-03   1.37120e-02  -2.01132e-06
