# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 178  14  5.24753e-01   1.32844e-02  -7.41749e-03  -6.67658e-07
 50 178  20  5.25479e-01   1.18507e-02  -9.56609e-03  -8.84987e-07
 50 178  25  5.26406e-01   1.00737e-02  -1.14473e-02  -1.09773e-06
 50 178  29  5.27528e-01   8.00139e-03  -1.30068e-02  -1.30464e-06
 50 178  35  5.28839e-01   5.69011e-03  -1.41984e-02  -1.50443e-06
 50 178  40  5.30332e-01   3.20357e-03  -1.49855e-02  -1.69579e-06
 50 178  45  5.31998e-01   6.11233e-04  -1.53418e-02  -1.87738e-06
 50 178  50  5.33825e-01  -2.01331e-03  -1.52532e-02  -2.04788e-06
 50 178  55  5.35802e-01  -4.59431e-03  -1.47176e-02  -2.20592e-06
 50 178  59  5.37915e-01  -7.05606e-03  -1.37460e-02  -2.35020e-06
 50 178  65  5.40150e-01  -9.32512e-03  -1.23626e-02  -2.47942e-06
 50 178  70  5.42494e-01  -1.13327e-02  -1.06037e-02  -2.59238e-06
 50 178  75  5.44932e-01  -1.30167e-02  -8.51745e-03  -2.68788e-06
 50 178  80  5.47449e-01  -1.43238e-02  -6.16209e-03  -2.76479e-06
 50 178  85  5.50025e-01  -1.52106e-02  -3.60460e-03  -2.82196e-06
 50 178  90  5.52642e-01  -1.56449e-02  -9.19027e-04  -2.85830e-06
 50 178  95  5.55277e-01  -1.56072e-02   1.81514e-03  -2.87284e-06
 50 178 100  5.57909e-01  -1.50915e-02   4.51480e-03  -2.86483e-06
 50 178 105  5.60518e-01  -1.41063e-02   7.09558e-03  -2.83383e-06
 50 178 110  5.63086e-01  -1.26757e-02   9.47456e-03  -2.77963e-06
 50 178 115  5.65593e-01  -1.08394e-02   1.15736e-02  -2.70228e-06
 50 178 119  5.68021e-01  -8.65119e-03   1.33223e-02  -2.60195e-06
 50 178 125  5.70348e-01  -6.17769e-03   1.46610e-02  -2.47899e-06
 50 178 130  5.72551e-01  -3.49577e-03   1.55431e-02  -2.33397e-06
 50 178 135  5.74611e-01  -6.89969e-04   1.59362e-02  -2.16773e-06
 50 178 140  5.76507e-01   2.15025e-03   1.58238e-02  -1.98144e-06
 50 178 145  5.78223e-01   4.93332e-03   1.52054e-02  -1.77660e-06
 50 178 150  5.79742e-01   7.56847e-03   1.40973e-02  -1.55500e-06
 50 178 155  5.81051e-01   9.96877e-03   1.25323e-02  -1.31870e-06
 50 178 160  5.82139e-01   1.20542e-02   1.05587e-02  -1.06998e-06
 50 178 165  5.82997e-01   1.37547e-02   8.23909e-03  -8.11254e-07
 50 178 170  5.83615e-01   1.50125e-02   5.64854e-03  -5.45006e-07
 50 178 175  5.83988e-01   1.57848e-02   2.87170e-03  -2.73752e-07
 50 178 180  5.84113e-01   1.60452e-02   0.00000e+00   0.00000e+00
 50 177   0  5.10150e-01   1.48957e-02   3.45040e-18   4.46644e-22
 50 177   5  5.10302e-01   1.46905e-02  -2.48391e-03  -3.17996e-07
 50 177  10  5.10755e-01   1.40799e-02  -4.90211e-03  -6.34770e-07
 50 177  14  5.11507e-01   1.30790e-02  -7.19031e-03  -9.49070e-07
 50 177  20  5.12556e-01   1.17129e-02  -9.28719e-03  -1.25959e-06
 50 177  25  5.13894e-01   1.00158e-02  -1.11357e-02  -1.56498e-06
 50 177  29  5.15515e-01   8.03050e-03  -1.26845e-02  -1.86382e-06
 50 177  35  5.17409e-01   5.80778e-03  -1.38891e-02  -2.15463e-06
 50 177  40  5.19565e-01   3.40513e-03  -1.47129e-02  -2.43580e-06
 50 177  45  5.21973e-01   8.85851e-04  -1.51281e-02  -2.70557e-06
 50 177  50  5.24622e-01  -1.68210e-03  -1.51168e-02  -2.96206e-06
 50 177  55  5.27501e-01  -4.22726e-03  -1.46716e-02  -3.20334e-06
 50 177  59  5.30595e-01  -6.67626e-03  -1.37970e-02  -3.42729e-06
 50 177  65  5.33883e-01  -8.95585e-03  -1.25102e-02  -3.63157e-06
 50 177  70  5.37339e-01  -1.09957e-02  -1.08417e-02  -3.81371e-06
 50 177  75  5.40942e-01  -1.27315e-02  -8.83490e-03  -3.97148e-06
