# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50   2  20  2.32845e-01  -1.54023e-02  -1.23079e-02   1.64310e-06
 50   2  25  2.33035e-01  -1.30194e-02  -1.47547e-02   2.35598e-06
 50   2  29  2.32800e-01  -1.02152e-02  -1.65613e-02   2.90567e-06
 50   2  35  2.32130e-01  -6.67593e-03  -1.78898e-02   3.12315e-06
 50   2  40  2.31577e-01  -3.31984e-03  -1.81026e-02   3.24540e-06
 50   2  45  2.30965e-01   2.69555e-04  -1.78559e-02   3.59933e-06
 50   2  50  2.30648e-01   3.73359e-03  -1.72830e-02   4.07176e-06
 50   2  55  2.30357e-01   6.92665e-03  -1.67350e-02   4.21981e-06
 50   2  59  2.29759e-01   9.59592e-03  -1.52396e-02   4.05491e-06
 50   2  65  2.29372e-01   1.21137e-02  -1.32080e-02   4.05807e-06
 50   2  70  2.29188e-01   1.44875e-02  -1.09407e-02   3.98456e-06
 50   2  75  2.28594e-01   1.62201e-02  -8.16874e-03   3.87747e-06
 50   2  80  2.28258e-01   1.74408e-02  -4.90913e-03   3.82356e-06
 50   2  85  2.28102e-01   1.77753e-02  -1.84074e-03   3.63400e-06
 50   2  90  2.27883e-01   1.74597e-02   1.51710e-03   4.01581e-06
 50   2  95  2.27650e-01   1.64416e-02   4.62882e-03   3.82922e-06
 50   2 100  2.27509e-01   1.50832e-02   7.51852e-03   3.32490e-06
 50   2 105  2.27380e-01   1.36873e-02   9.72247e-03   3.05915e-06
 50   2 110  2.27641e-01   1.19305e-02   1.15336e-02   3.19153e-06
 50   2 115  2.27650e-01   9.57056e-03   1.32988e-02   3.25623e-06
 50   2 119  2.27500e-01   6.74203e-03   1.48198e-02   2.85582e-06
 50   2 125  2.27325e-01   4.28875e-03   1.60359e-02   2.48777e-06
 50   2 130  2.26933e-01   1.78388e-03   1.65178e-02   2.22647e-06
 50   2 135  2.26798e-01  -1.29376e-03   1.67569e-02   1.97679e-06
 50   2 140  2.26674e-01  -4.10788e-03   1.64520e-02   1.80010e-06
 50   2 145  2.26300e-01  -6.37129e-03   1.55391e-02   1.55623e-06
 50   2 150  2.26133e-01  -8.66627e-03   1.44980e-02   1.20407e-06
 50   2 155  2.25880e-01  -1.08173e-02   1.30639e-02   7.07565e-07
 50   2 160  2.25308e-01  -1.27890e-02   1.06823e-02   4.31616e-07
 50   2 165  2.24211e-01  -1.37721e-02   7.78015e-03   3.55402e-07
 50   2 170  2.23580e-01  -1.46487e-02   5.34736e-03   2.78322e-07
 50   2 175  2.23337e-01  -1.51875e-02   2.39043e-03   1.11600e-07
 50   2 180  2.23097e-01  -1.55596e-02   2.74523e-04  -2.39508e-07
 50   3   0  2.37759e-01  -2.28331e-02  -2.78059e-04  -1.74625e-07
 50   3   5  2.36050e-01  -2.16291e-02  -3.54689e-03   4.82473e-07
 50   3  10  2.36374e-01  -2.06963e-02  -7.53472e-03   9.92259e-07
 50   3  14  2.36372e-01  -1.89021e-02  -1.06365e-02   2.00290e-06
 50   3  20  2.36616e-01  -1.64655e-02  -1.32151e-02   2.89972e-06
 50   3  25  2.36870e-01  -1.37522e-02  -1.57314e-02   3.72940e-06
 50   3  29  2.36570e-01  -1.06841e-02  -1.79555e-02   4.24770e-06
 50   3  35  2.35747e-01  -6.90276e-03  -1.95458e-02   4.48628e-06
 50   3  40  2.34908e-01  -3.00189e-03  -1.98972e-02   4.61120e-06
 50   3  45  2.34114e-01   8.07548e-04  -1.95772e-02   4.81624e-06
