# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50   2  20  3.70457e-01  -4.57295e-03  -4.18493e-03   3.56106e-06
 50   2  25  3.70215e-01  -3.51456e-03  -5.04920e-03   4.31023e-06
 50   2  29  3.70946e-01  -2.44510e-03  -5.64612e-03   4.83426e-06
 50   2  35  3.72217e-01  -1.48475e-03  -6.22515e-03   5.24511e-06
 50   2  40  3.73153e-01  -4.86401e-04  -6.56348e-03   5.77542e-06
 50   2  45  3.73424e-01   5.44126e-04  -6.73120e-03   6.82036e-06
 50   2  50  3.74174e-01   1.63357e-03  -6.48452e-03   8.04804e-06
 50   2  55  3.74494e-01   2.86060e-03  -5.95371e-03   9.19694e-06
 50   2  59  3.74077e-01   3.90640e-03  -5.39010e-03   9.23649e-06
 50   2  65  3.73581e-01   4.76025e-03  -4.76007e-03   1.03330e-05
 50   2  70  3.72902e-01   5.39829e-03  -3.75699e-03   1.07804e-05
 50   2  75  3.72183e-01   6.04579e-03  -2.75683e-03   1.10074e-05
 50   2  80  3.72215e-01   6.60571e-03  -1.62207e-03   1.12036e-05
 50   2  85  3.72657e-01   6.95003e-03  -4.33066e-04   1.23261e-05
 50   2  90  3.72407e-01   6.83735e-03   8.25023e-04   1.11936e-05
 50   2  95  3.71792e-01   6.59063e-03   1.96720e-03   1.03156e-05
 50   2 100  3.71338e-01   6.34892e-03   2.95508e-03   1.09959e-05
 50   2 105  3.71338e-01   5.91956e-03   3.95441e-03   1.02474e-05
 50   2 110  3.70896e-01   5.11650e-03   4.94447e-03   8.87380e-06
 50   2 115  3.70758e-01   4.18769e-03   5.77775e-03   8.43094e-06
 50   2 119  3.70832e-01   3.04454e-03   6.51632e-03   8.05564e-06
 50   2 125  3.70664e-01   2.03364e-03   6.89003e-03   7.87721e-06
 50   2 130  3.70962e-01   9.15513e-04   7.08866e-03   7.32353e-06
 50   2 135  3.71838e-01  -3.98921e-04   7.11300e-03   6.87012e-06
 50   2 140  3.72279e-01  -1.44759e-03   6.97765e-03   6.35726e-06
 50   2 145  3.72479e-01  -2.76022e-03   6.77649e-03   5.67425e-06
 50   2 150  3.72685e-01  -3.99741e-03   6.07405e-03   4.65109e-06
 50   2 155  3.72883e-01  -4.98430e-03   5.39040e-03   3.73885e-06
 50   2 160  3.72991e-01  -5.64169e-03   4.64096e-03   3.20281e-06
 50   2 165  3.73240e-01  -6.24526e-03   3.63583e-03   2.47091e-06
 50   2 170  3.72998e-01  -6.77297e-03   2.48901e-03   1.68772e-06
 50   2 175  3.72052e-01  -7.20411e-03   1.25258e-03   8.37026e-07
 50   2 180  3.69789e-01  -7.22291e-03   5.72598e-05  -7.32565e-08
 50   3   0  3.69448e-01  -5.82882e-03  -6.20950e-05   1.73500e-07
 50   3   5  3.72288e-01  -5.70892e-03  -1.29496e-03   1.41951e-06
 50   3  10  3.71687e-01  -5.47172e-03  -2.37104e-03   2.67468e-06
 50   3  14  3.71299e-01  -5.16903e-03  -3.32310e-03   3.71729e-06
