# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 178  10  4.46255e-01  -5.07562e-03   1.83606e-03  -1.34146e-06
 50 178  14  4.46549e-01  -4.78749e-03   2.76270e-03  -1.60236e-06
 50 178  20  4.47281e-01  -4.26694e-03   3.65148e-03  -1.79789e-06
 50 178  25  4.47972e-01  -3.45892e-03   4.30483e-03  -2.50047e-06
 50 178  29  4.48357e-01  -2.64697e-03   4.81756e-03  -2.77785e-06
 50 178  35  4.49633e-01  -1.93095e-03   5.17352e-03  -2.88705e-06
 50 178  40  4.50784e-01  -1.18575e-03   5.44975e-03  -3.11315e-06
 50 178  45  4.49942e-01  -2.49141e-04   5.62851e-03  -3.97653e-06
 50 178  50  4.49715e-01   7.22822e-04   5.58261e-03  -4.84515e-06
 50 178  55  4.49323e-01   1.53373e-03   5.31219e-03  -5.52874e-06
 50 178  59  4.49334e-01   2.37700e-03   4.94170e-03  -5.12886e-06
 50 178  65  4.48427e-01   3.02635e-03   4.46833e-03  -4.66462e-06
 50 178  70  4.48669e-01   3.61224e-03   3.80542e-03  -5.38215e-06
 50 178  75  4.48482e-01   4.16766e-03   3.00609e-03  -6.45559e-06
 50 178  80  4.50483e-01   4.64326e-03   2.11074e-03  -8.33810e-06
 50 178  85  4.51506e-01   4.87764e-03   1.18624e-03  -8.96442e-06
 50 178  90  4.51725e-01   4.86496e-03   3.46348e-04  -9.58883e-06
 50 178  95  4.53572e-01   4.86411e-03  -4.43999e-04  -1.08420e-05
 50 178 100  4.56444e-01   4.80937e-03  -1.39988e-03  -1.03186e-05
 50 178 105  4.57701e-01   4.48233e-03  -2.25766e-03  -1.02104e-05
 50 178 110  4.59169e-01   4.04385e-03  -2.84836e-03  -9.26850e-06
 50 178 115  4.60497e-01   3.42009e-03  -3.45344e-03  -8.58404e-06
 50 178 119  4.61054e-01   2.71040e-03  -4.11969e-03  -7.07833e-06
 50 178 125  4.61466e-01   1.80444e-03  -4.62409e-03  -6.73451e-06
 50 178 130  4.63930e-01   9.33936e-04  -4.72719e-03  -7.40127e-06
 50 178 135  4.66522e-01  -1.14107e-05  -4.76481e-03  -7.20134e-06
 50 178 140  4.67338e-01  -8.23613e-04  -4.85025e-03  -6.39393e-06
 50 178 145  4.67354e-01  -1.61071e-03  -4.46930e-03  -5.34836e-06
 50 178 150  4.65425e-01  -2.36121e-03  -4.03747e-03  -4.79165e-06
 50 178 155  4.65623e-01  -2.81521e-03  -3.48453e-03  -4.39609e-06
 50 178 160  4.65387e-01  -3.29356e-03  -2.91194e-03  -3.79406e-06
 50 178 165  4.66521e-01  -4.09412e-03  -2.10032e-03  -2.57912e-06
 50 178 170  4.68903e-01  -4.48052e-03  -1.41011e-03  -2.20295e-06
 50 178 175  4.60135e-01  -4.26049e-03  -6.33984e-04  -1.28340e-06
 50 178 180  4.54020e-01  -3.89457e-03   5.62227e-05  -7.51191e-07
 50 177   0  4.34533e-01  -5.59420e-03   1.35600e-04  -2.72545e-07
 50 177   5  4.38751e-01  -5.45586e-03   9.83403e-04  -1.37947e-06
 50 177  10  4.42984e-01  -5.28652e-03   1.88084e-03  -1.77092e-06
 50 177  14  4.43054e-01  -5.02511e-03   2.84618e-03  -2.34786e-06
 50 177  20  4.44241e-01  -4.46259e-03   3.73374e-03  -3.42143e-06
 50 177  25  4.45304e-01  -3.69447e-03   4.40318e-03  -5.06292e-06
 50 177  29  4.45996e-01  -2.87588e-03   4.92948e-03  -5.90839e-06
 50 177  35  4.47134e-01  -2.13321e-03   5.34573e-03  -5.98124e-06
 50 177  40  4.48010e-01  -1.37238e-03   5.61932e-03  -6.10018e-06
 50 177  45  4.46794e-01  -3.74422e-04   5.75889e-03  -7.08786e-06
 50 177  50  4.47088e-01   5.91313e-04   5.70663e-03  -8.06602e-06
 50 177  55  4.47581e-01   1.51314e-03   5.49282e-03  -8.54780e-06
 50 177  59  4.47443e-01   2.39032e-03   5.04601e-03  -8.29314e-06
 50 177  65  4.46989e-01   2.97791e-03   4.60269e-03  -8.20219e-06
 50 177  70  4.47872e-01   3.56621e-03   3.95207e-03  -8.46958e-06
 50 177  75  4.48058e-01   4.17267e-03   3.14087e-03  -9.39277e-06
 50 177  80  4.49849e-01   4.62886e-03   2.23936e-03  -1.21275e-05
 50 177  85  4.51245e-01   4.87010e-03   1.30824e-03  -1.25514e-05
 50 177  90  4.51959e-01   4.86021e-03   4.32491e-04  -1.31667e-05
 50 177  95  4.54422e-01   4.86972e-03  -3.35213e-04  -1.44076e-05
 50 177 100  4.57837e-01   4.81738e-03  -1.27932e-03  -1.40918e-05
 50 177 105  4.60085e-01   4.52267e-03  -2.13120e-03  -1.42462e-05
 50 177 110  4.62098e-01   4.07982e-03  -2.73611e-03  -1.38946e-05
 50 177 115  4.64248e-01   3.43752e-03  -3.34191e-03  -1.35823e-05
 50 177 119  4.66156e-01   2.75823e-03  -3.96216e-03  -1.20375e-05
 50 177 125  4.66732e-01   1.90903e-03  -4.43476e-03  -1.06224e-05
 50 177 130  4.68326e-01   1.01982e-03  -4.55969e-03  -1.11265e-05
 50 177 135  4.71267e-01   1.55839e-04  -4.55612e-03  -1.09483e-05
 50 177 140  4.72268e-01  -5.88797e-04  -4.56465e-03  -9.33083e-06
