# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 178  14  4.45016e-01  -4.98334e-03   2.77651e-03  -2.26814e-06
 50 178  20  4.45243e-01  -4.43468e-03   3.57084e-03  -2.99959e-06
 50 178  25  4.45534e-01  -3.75855e-03   4.25799e-03  -3.71010e-06
 50 178  29  4.45892e-01  -2.97564e-03   4.81753e-03  -4.39463e-06
 50 178  35  4.46315e-01  -2.10991e-03   5.23296e-03  -5.04826e-06
 50 178  40  4.46802e-01  -1.18781e-03   5.49226e-03  -5.66625e-06
 50 178  45  4.47348e-01  -2.37513e-04   5.58826e-03  -6.24401e-06
 50 178  50  4.47945e-01   7.12048e-04   5.51888e-03  -6.77721e-06
 50 178  55  4.48584e-01   1.63207e-03   5.28723e-03  -7.26173e-06
 50 178  59  4.49258e-01   2.49486e-03   4.90147e-03  -7.69377e-06
 50 178  65  4.49963e-01   3.27468e-03   4.37443e-03  -8.06981e-06
 50 178  70  4.50703e-01   3.94851e-03   3.72320e-03  -8.38670e-06
 50 178  75  4.51487e-01   4.49670e-03   2.96847e-03  -8.64167e-06
 50 178  80  4.52319e-01   4.90348e-03   2.13403e-03  -8.83236e-06
 50 178  85  4.53195e-01   5.15751e-03   1.24603e-03  -8.95686e-06
 50 178  90  4.54097e-01   5.25237e-03   3.32178e-04  -9.01370e-06
 50 178  95  4.55003e-01   5.18678e-03  -5.79200e-04  -9.00196e-06
 50 178 100  4.55894e-01   4.96457e-03  -1.46021e-03  -8.92120e-06
 50 178 105  4.56764e-01   4.59436e-03  -2.28431e-03  -8.77155e-06
 50 178 110  4.57618e-01   4.08909e-03  -3.02701e-03  -8.55367e-06
 50 178 115  4.58463e-01   3.46555e-03  -3.66656e-03  -8.26879e-06
 50 178 119  4.59301e-01   2.74393e-03  -4.18447e-03  -7.91872e-06
 50 178 125  4.60125e-01   1.94726e-03  -4.56614e-03  -7.50582e-06
 50 178 130  4.60919e-01   1.10064e-03  -4.80133e-03  -7.03301e-06
 50 178 135  4.61666e-01   2.30431e-04  -4.88445e-03  -6.50377e-06
 50 178 140  4.62351e-01  -6.36674e-04  -4.81457e-03  -5.92206e-06
 50 178 145  4.62966e-01  -1.47445e-03  -4.59535e-03  -5.29235e-06
 50 178 150  4.63506e-01  -2.25787e-03  -4.23477e-03  -4.61958e-06
 50 178 155  4.63969e-01  -2.96381e-03  -3.74484e-03  -3.90908e-06
 50 178 160  4.64353e-01  -3.57157e-03  -3.14117e-03  -3.16656e-06
 50 178 165  4.64655e-01  -4.06348e-03  -2.44252e-03  -2.39802e-06
 50 178 170  4.64874e-01  -4.42532e-03  -1.67029e-03  -1.60975e-06
 50 178 175  4.65007e-01  -4.64666e-03  -8.47865e-04  -8.08208e-07
 50 178 180  4.65051e-01  -4.72115e-03   0.00000e+00   0.00000e+00
 50 177   0  4.40591e-01  -5.92990e-03  -1.36798e-18   1.58461e-21
 50 177   5  4.40637e-01  -5.84518e-03   9.85857e-04  -1.12793e-06
 50 177  10  4.40776e-01  -5.59359e-03   1.94234e-03  -2.24842e-06
 50 177  14  4.41007e-01  -5.18279e-03   2.84099e-03  -3.35406e-06
 50 177  20  4.41330e-01  -4.62531e-03   3.65509e-03  -4.43748e-06
 50 177  25  4.41743e-01  -3.93815e-03   4.36054e-03  -5.49138e-06
 50 177  29  4.42240e-01  -3.14228e-03   4.93657e-03  -6.50855e-06
 50 177  35  4.42816e-01  -2.26202e-03   5.36651e-03  -7.48193e-06
 50 177  40  4.43464e-01  -1.32422e-03   5.63823e-03  -8.40459e-06
 50 177  45  4.44186e-01  -3.57377e-04   5.74455e-03  -9.26981e-06
 50 177  50  4.44993e-01   6.09234e-04   5.68334e-03  -1.00711e-05
 50 177  55  4.45898e-01   1.54640e-03   5.45745e-03  -1.08023e-05
 50 177  59  4.46902e-01   2.42580e-03   5.07484e-03  -1.14575e-05
 50 177  65  4.47980e-01   3.22099e-03   4.54853e-03  -1.20314e-05
 50 177  70  4.49095e-01   3.90856e-03   3.89632e-03  -1.25187e-05
 50 177  75  4.50233e-01   4.46895e-03   3.13984e-03  -1.29151e-05
 50 177  80  4.51420e-01   4.88665e-03   2.30347e-03  -1.32165e-05
 50 177  85  4.52689e-01   5.15030e-03   1.41363e-03  -1.34196e-05
 50 177  90  4.54030e-01   5.25331e-03   4.98429e-04  -1.35219e-05
 50 177  95  4.55387e-01   5.19475e-03  -4.13251e-04  -1.35212e-05
 50 177 100  4.56716e-01   4.97942e-03  -1.29316e-03  -1.34165e-05
 50 177 105  4.58029e-01   4.61678e-03  -2.11475e-03  -1.32075e-05
 50 177 110  4.59364e-01   4.12019e-03  -2.85363e-03  -1.28946e-05
 50 177 115  4.60725e-01   3.50685e-03  -3.48804e-03  -1.24793e-05
 50 177 119  4.62070e-01   2.79773e-03  -3.99994e-03  -1.19640e-05
 50 177 125  4.63344e-01   2.01672e-03  -4.37589e-03  -1.13518e-05
 50 177 130  4.64530e-01   1.18925e-03  -4.60713e-03  -1.06470e-05
 50 177 135  4.65638e-01   3.41311e-04  -4.68933e-03  -9.85460e-06
 50 177 140  4.66681e-01  -5.01138e-04  -4.62240e-03  -8.98050e-06
 50 177 145  4.67655e-01  -1.31275e-03  -4.41057e-03  -8.03146e-06
 50 177 150  4.68541e-01  -2.06951e-03  -4.06231e-03  -7.01501e-06
 50 177 155  4.69316e-01  -2.74949e-03  -3.58999e-03  -5.93937e-06
 50 177 160  4.69962e-01  -3.33340e-03  -3.00927e-03  -4.81339e-06
 50 177 165  4.70471e-01  -3.80496e-03  -2.33857e-03  -3.64647e-06
 50 177 170  4.70837e-01  -4.15124e-03  -1.59847e-03  -2.44844e-06
 50 177 175  4.71058e-01  -4.36282e-03  -8.11173e-04  -1.22948e-06
 50 177 180  4.71132e-01  -4.43398e-03   0.00000e+00   0.00000e+00
 50 176   0  4.36748e-01  -6.12502e-03  -1.39535e-18   2.08145e-21
 50 176   5  4.36804e-01  -6.03932e-03   1.00520e-03  -1.48167e-06
 50 176  10  4.36971e-01  -5.78480e-03   1.98084e-03  -2.95410e-06
 50 176  14  4.37248e-01  -5.36915e-03   2.89826e-03  -4.40806e-06
 50 176  20  4.37633e-01  -4.80493e-03   3.73056e-03  -5.83435e-06
 50 176  25  4.38122e-01  -4.10921e-03   4.45346e-03  -7.22377e-06
 50 176  29  4.38719e-01  -3.30302e-03   5.04603e-03  -8.56722e-06
 50 176  35  4.39432e-01  -2.41070e-03   5.49125e-03  -9.85565e-06
 50 176  40  4.40273e-01  -1.45918e-03   5.77649e-03  -1.10801e-05
 50 176  45  4.41242e-01  -4.77275e-04   5.89392e-03  -1.22319e-05
 50 176  50  4.42311e-01   5.05128e-04   5.84111e-03  -1.33023e-05
 50 176  55  4.43445e-01   1.45827e-03   5.62145e-03  -1.42832e-05
 50 176  59  4.44649e-01   2.35370e-03   5.24358e-03  -1.51664e-05
 50 176  65  4.45978e-01   3.16477e-03   4.72044e-03  -1.59445e-05
 50 176  70  4.47449e-01   3.86716e-03   4.06910e-03  -1.66103e-05
 50 176  75  4.48990e-01   4.44036e-03   3.31148e-03  -1.71574e-05
 50 176  80  4.50545e-01   4.86917e-03   2.47322e-03  -1.75798e-05
 50 176  85  4.52174e-01   5.14289e-03   1.58158e-03  -1.78726e-05
 50 176  90  4.53935e-01   5.25455e-03   6.64865e-04  -1.80315e-05
 50 176  95  4.55743e-01   5.20312e-03  -2.47497e-04  -1.80533e-05
 50 176 100  4.57511e-01   4.99444e-03  -1.12670e-03  -1.79357e-05
 50 176 105  4.59303e-01   4.63873e-03  -1.94601e-03  -1.76776e-05
 50 176 110  4.61176e-01   4.14940e-03  -2.68061e-03  -1.72791e-05
 50 176 115  4.63044e-01   3.54482e-03  -3.30882e-03  -1.67415e-05
 50 176 119  4.64814e-01   2.84771e-03  -3.81398e-03  -1.60674e-05
 50 176 125  4.66520e-01   2.08244e-03  -4.18399e-03  -1.52609e-05
 50 176 130  4.68218e-01   1.27407e-03  -4.41041e-03  -1.43270e-05
 50 176 135  4.69871e-01   4.48566e-04  -4.48937e-03  -1.32724e-05
 50 176 140  4.71401e-01  -3.68144e-04  -4.42240e-03  -1.21048e-05
 50 176 145  4.72766e-01  -1.15152e-03  -4.21565e-03  -1.08334e-05
 50 176 150  4.73972e-01  -1.87907e-03  -3.87874e-03  -9.46834e-06
 50 176 155  4.75029e-01  -2.53050e-03  -3.42425e-03  -8.02087e-06
 50 176 160  4.75929e-01  -3.08809e-03  -2.86758e-03  -6.50320e-06
 50 176 165  4.76653e-01  -3.53710e-03  -2.22657e-03  -4.92834e-06
 50 176 170  4.77181e-01  -3.86603e-03  -1.52089e-03  -3.31000e-06
 50 176 175  4.77503e-01  -4.06666e-03  -7.71475e-04  -1.66236e-06
 50 176 180  4.77611e-01  -4.13409e-03   0.00000e+00   0.00000e+00
 50 175   0  4.33149e-01  -6.30592e-03  -1.41910e-18   2.56269e-21
 50 175   5  4.33214e-01  -6.21954e-03   1.02232e-03  -1.82435e-06
 50 175  10  4.33406e-01  -5.96296e-03   2.01504e-03  -3.63800e-06
 50 175  14  4.33728e-01  -5.54382e-03   2.94947e-03  -5.43022e-06
 50 175  20  4.34182e-01  -4.97458e-03   3.79860e-03  -7.19027e-06
 50 175  25  4.34774e-01  -4.27213e-03   4.53792e-03  -8.90738e-06
 50 175  29  4.35510e-01  -3.45739e-03   5.14611e-03  -1.05707e-05
 50 175  35  4.36383e-01  -2.55473e-03   5.60572e-03  -1.21696e-05
 50 175  40  4.37365e-01  -1.59140e-03   5.90402e-03  -1.36930e-05
 50 175  45  4.38441e-01  -5.96481e-04   6.03362e-03  -1.51304e-05
 50 175  50  4.39644e-01   4.00216e-04   5.99207e-03  -1.64710e-05
 50 175  55  4.41028e-01   1.36874e-03   5.78139e-03  -1.77045e-05
 50 175  59  4.42555e-01   2.27962e-03   5.40906e-03  -1.88205e-05
 50 175  65  4.44136e-01   3.10575e-03   4.88918e-03  -1.98094e-05
 50 175  70  4.45824e-01   3.82326e-03   4.24020e-03  -2.06618e-05
 50 175  75  4.47708e-01   4.41066e-03   3.48308e-03  -2.13688e-05
 50 175  80  4.49674e-01   4.85124e-03   2.64336e-03  -2.19227e-05
 50 175  85  4.51660e-01   5.13520e-03   1.74989e-03  -2.23161e-05
 50 175  90  4.53815e-01   5.25603e-03   8.31536e-04  -2.25431e-05
 50 175  95  4.56071e-01   5.21190e-03  -8.18726e-05  -2.25987e-05
 50 175 100  4.58284e-01   5.00972e-03  -9.60804e-04  -2.24792e-05
 50 175 105  4.60593e-01   4.66007e-03  -1.77803e-03  -2.21825e-05
 50 175 110  4.62993e-01   4.17671e-03  -2.50809e-03  -2.17078e-05
 50 175 115  4.65299e-01   3.58050e-03  -3.13022e-03  -2.10560e-05
 50 175 119  4.67578e-01   2.89500e-03  -3.62867e-03  -2.02298e-05
 50 175 125  4.69912e-01   2.14408e-03  -3.99065e-03  -1.92337e-05
 50 175 130  4.72151e-01   1.35401e-03  -4.20910e-03  -1.80737e-05
 50 175 135  4.74213e-01   5.51482e-04  -4.28349e-03  -1.67578e-05
 50 175 140  4.76174e-01  -2.38608e-04  -4.21662e-03  -1.52958e-05
 50 175 145  4.78050e-01  -9.92672e-04  -4.01434e-03  -1.36989e-05
 50 175 150  4.79755e-01  -1.68897e-03  -3.68705e-03  -1.19802e-05
 50 175 155  4.81221e-01  -2.30876e-03  -3.24886e-03  -1.01542e-05
 50 175 160  4.82431e-01  -2.83655e-03  -2.71594e-03  -8.23647e-06
 50 175 165  4.83388e-01  -3.25978e-03  -2.10575e-03  -6.24403e-06
 50 175 170  4.84084e-01  -3.56879e-03  -1.43679e-03  -4.19468e-06
 50 175 175  4.84508e-01  -3.75684e-03  -7.28311e-04  -2.10699e-06
 50 175 180  4.84651e-01  -3.81995e-03   0.00000e+00   0.00000e+00
 50 174   0  4.29871e-01  -6.47274e-03  -1.44034e-18   3.02833e-21
 50 174   5  4.29945e-01  -6.38589e-03   1.03731e-03  -2.15597e-06
 50 174  10  4.30166e-01  -6.12788e-03   2.04507e-03  -4.30011e-06
 50 174  14  4.30538e-01  -5.70619e-03   2.99459e-03  -6.42052e-06
 50 174  20  4.31060e-01  -5.13313e-03   3.85877e-03  -8.50526e-06
 50 174  25  4.31728e-01  -4.42551e-03   4.61301e-03  -1.05422e-05
 50 174  29  4.32528e-01  -3.60426e-03   5.23599e-03  -1.25191e-05
 50 174  35  4.33451e-01  -2.69379e-03   5.71049e-03  -1.44237e-05
 50 174  40  4.34528e-01  -1.72102e-03   6.02357e-03  -1.62433e-05
 50 174  45  4.35805e-01  -7.14695e-04   6.16641e-03  -1.79654e-05
 50 174  50  4.37244e-01   2.94942e-04   6.13545e-03  -1.95772e-05
 50 174  55  4.38763e-01   1.27744e-03   5.93405e-03  -2.10663e-05
 50 174  59  4.40439e-01   2.20360e-03   5.57046e-03  -2.24200e-05
 50 174  65  4.42345e-01   3.04517e-03   5.05611e-03  -2.36263e-05
 50 174  70  4.44328e-01   3.77707e-03   4.40945e-03  -2.46733e-05
 50 174  75  4.46431e-01   4.37903e-03   3.65389e-03  -2.55497e-05
 50 174  80  4.48775e-01   4.83276e-03   2.81381e-03  -2.62453e-05
 50 174  85  4.51150e-01   5.12725e-03   1.91854e-03  -2.67505e-05
 50 174  90  4.53671e-01   5.25765e-03   9.98479e-04  -2.70570e-05
 50 174  95  4.56372e-01   5.22111e-03   8.36937e-05  -2.71579e-05
 50 174 100  4.59037e-01   5.02528e-03  -7.95408e-04  -2.70477e-05
 50 174 105  4.61879e-01   4.68084e-03  -1.61082e-03  -2.67228e-05
 50 174 110  4.64754e-01   4.20284e-03  -2.33667e-03  -2.61813e-05
 50 174 115  4.67565e-01   3.61458e-03  -2.95307e-03  -2.54236e-05
 50 174 119  4.70505e-01   2.93861e-03  -3.44311e-03  -2.44520e-05
 50 174 125  4.73348e-01   2.20102e-03  -3.79558e-03  -2.32711e-05
 50 174 130  4.76061e-01   1.42959e-03  -4.00680e-03  -2.18880e-05
 50 174 135  4.78785e-01   6.49762e-04  -4.07487e-03  -2.03119e-05
 50 174 140  4.81355e-01  -1.13110e-04  -4.00334e-03  -1.85542e-05
 50 174 145  4.83651e-01  -8.35842e-04  -3.80246e-03  -1.66288e-05
 50 174 150  4.85743e-01  -1.49867e-03  -3.48440e-03  -1.45515e-05
 50 174 155  4.87639e-01  -2.08449e-03  -3.06282e-03  -1.23399e-05
 50 174 160  4.89261e-01  -2.57944e-03  -2.55398e-03  -1.00138e-05
 50 174 165  4.90545e-01  -2.97339e-03  -1.97562e-03  -7.59396e-06
 50 174 170  4.91470e-01  -3.25930e-03  -1.34555e-03  -5.10280e-06
 50 174 175  4.92029e-01  -3.43258e-03  -6.81283e-04  -2.56351e-06
 50 174 180  4.92216e-01  -3.49063e-03   0.00000e+00   0.00000e+00
 50 173   0  4.26866e-01  -6.62412e-03  -1.45884e-18   3.47834e-21
 50 173   5  4.26946e-01  -6.53710e-03   1.05005e-03  -2.47651e-06
 50 173  10  4.27184e-01  -6.27850e-03   2.07076e-03  -4.94039e-06
 50 173  14  4.27578e-01  -5.85567e-03   3.03360e-03  -7.37893e-06
 50 173  20  4.28124e-01  -5.28072e-03   3.91162e-03  -9.77923e-06
 50 173  25  4.28819e-01  -4.57024e-03   4.68029e-03  -1.21282e-05
 50 173  29  4.29679e-01  -3.74478e-03   5.31820e-03  -1.44123e-05
 50 173  35  4.30736e-01  -2.82818e-03   5.80736e-03  -1.66179e-05
 50 173  40  4.31984e-01  -1.84721e-03   6.13387e-03  -1.87308e-05
 50 173  45  4.33348e-01  -8.31158e-04   6.28963e-03  -2.07367e-05
 50 173  50  4.34856e-01   1.89826e-04   6.27215e-03  -2.26209e-05
 50 173  55  4.36621e-01   1.18543e-03   6.08202e-03  -2.43686e-05
 50 173  59  4.38523e-01   2.12544e-03   5.72629e-03  -2.59649e-05
 50 173  65  4.40548e-01   2.98229e-03   5.21955e-03  -2.73951e-05
 50 173  70  4.42859e-01   3.72955e-03   4.57762e-03  -2.86448e-05
 50 173  75  4.45241e-01   4.34539e-03   3.82358e-03  -2.97001e-05
 50 173  80  4.47848e-01   4.81325e-03   2.98425e-03  -3.05479e-05
 50 173  85  4.50636e-01   5.11908e-03   2.08757e-03  -3.11760e-05
 50 173  90  4.53508e-01   5.25931e-03   1.16572e-03  -3.15736e-05
 50 173  95  4.56645e-01   5.23074e-03   2.49273e-04  -3.17313e-05
 50 173 100  4.59767e-01   5.04117e-03  -6.30455e-04  -3.16416e-05
 50 173 105  4.63138e-01   4.70127e-03  -1.44447e-03  -3.12991e-05
 50 173 110  4.66474e-01   4.22844e-03  -2.16673e-03  -3.07005e-05
 50 173 115  4.69925e-01   3.64643e-03  -2.77694e-03  -2.98450e-05
 50 173 119  4.73417e-01   2.97865e-03  -3.25789e-03  -2.87346e-05
 50 173 125  4.76792e-01   2.25448e-03  -3.60177e-03  -2.73740e-05
 50 173 130  4.80259e-01   1.49989e-03  -3.80219e-03  -2.57708e-05
 50 173 135  4.83506e-01   7.42379e-04  -3.86036e-03  -2.39354e-05
 50 173 140  4.86582e-01   7.47218e-06  -3.78445e-03  -2.18810e-05
 50 173 145  4.89566e-01  -6.82645e-04  -3.58267e-03  -1.96239e-05
 50 173 150  4.92231e-01  -1.30851e-03  -3.26911e-03  -1.71828e-05
 50 173 155  4.94514e-01  -1.85567e-03  -2.86168e-03  -1.45789e-05
 50 173 160  4.96467e-01  -2.31373e-03  -2.37766e-03  -1.18357e-05
 50 173 165  4.98065e-01  -2.67538e-03  -1.83373e-03  -8.97859e-06
 50 173 170  4.99244e-01  -2.93608e-03  -1.24609e-03  -6.03464e-06
 50 173 175  4.99963e-01  -3.09332e-03  -6.30028e-04  -3.03208e-06
 50 173 180  5.00204e-01  -3.14586e-03   0.00000e+00   0.00000e+00
 50 172   0  4.24045e-01  -6.76108e-03  -1.47365e-18   3.91264e-21
 50 172   5  4.24127e-01  -6.67402e-03   1.06078e-03  -2.78591e-06
 50 172  10  4.24374e-01  -6.41532e-03   2.09248e-03  -5.55875e-06
 50 172  14  4.24787e-01  -5.99232e-03   3.06685e-03  -8.30528e-06
 50 172  20  4.25373e-01  -5.41697e-03   3.95728e-03  -1.10120e-05
 50 172  25  4.26147e-01  -4.70536e-03   4.73930e-03  -1.36651e-05
 50 172  29  4.27117e-01  -3.87732e-03   5.39107e-03  -1.62500e-05
 50 172  35  4.28249e-01  -2.95645e-03   5.89429e-03  -1.87520e-05
 50 172  40  4.29511e-01  -1.96971e-03   6.23575e-03  -2.11554e-05
 50 172  45  4.30998e-01  -9.45780e-04   6.40643e-03  -2.34442e-05
 50 172  50  4.32723e-01   8.52722e-05   6.40115e-03  -2.56018e-05
 50 172  55  4.34548e-01   1.09261e-03   6.22294e-03  -2.76111e-05
 50 172  59  4.36638e-01   2.04635e-03   5.87863e-03  -2.94549e-05
 50 172  65  4.38926e-01   2.91717e-03   5.37888e-03  -3.11157e-05
 50 172  70  4.41365e-01   3.68000e-03   4.74357e-03  -3.25764e-05
 50 172  75  4.44107e-01   4.31051e-03   3.99259e-03  -3.38200e-05
 50 172  80  4.46936e-01   4.79221e-03   3.15428e-03  -3.48305e-05
 50 172  85  4.50103e-01   5.11065e-03   2.25696e-03  -3.55928e-05
 50 172  90  4.53330e-01   5.26091e-03   1.33326e-03  -3.60930e-05
 50 172  95  4.56891e-01   5.24077e-03   4.14936e-04  -3.63192e-05
 50 172 100  4.60471e-01   5.05743e-03  -4.65879e-04  -3.62614e-05
 50 172 105  4.64354e-01   4.72168e-03  -1.27906e-03  -3.59119e-05
 50 172 110  4.68198e-01   4.25360e-03  -1.99831e-03  -3.52657e-05
 50 172 115  4.72299e-01   3.67592e-03  -2.60189e-03  -3.43209e-05
 50 172 119  4.76291e-01   3.01644e-03  -3.07484e-03  -3.30786e-05
 50 172 125  4.80449e-01   2.30313e-03  -3.40749e-03  -3.15432e-05
 50 172 130  4.84442e-01   1.56443e-03  -3.59553e-03  -2.97229e-05
 50 172 135  4.88379e-01   8.29191e-04  -3.64366e-03  -2.76292e-05
